gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
0,_000187,0.2262725830078125,27027.620922772265,0,_000187,0
0,_000212,0.6493377685546875,40384.77076412905,0,_000212,0
0,_000389,0.6569671630859375,43146.761867082925,0,_000389,0
0,_000418,0.718353271484375,45415.16842400895,0,_000418,0
0,_000127,1.1202392578125,79372.79418706743,0,_000127,0
0,_000070,1.313385009765625,112782.14218287473,0,_000070,0
0,_000108,1.4816741943359375,117560.80071761772,0,_000108,0
0,_000013,3.065673828125,121738.8079664069,0,_000013,0
0,_000366,3.20196533203125,279767.2558725036,0,_000366,0
0,_000054,3.7860260009765625,396665.4404018229,0,_000054,0
0,_000367,3.786544799804688,414553.714456362,0,_000367,0
0,_000267,4.1223907470703125,421329.41038305446,0,_000267,0
0,_000105,5.953872680664063,483857.8017155992,0,_000105,0
0,_000030,6.085739135742188,680972.8127382814,0,_000030,0
0,_000005,6.406906127929688,681286.1994920011,0,_000005,0
0,_000156,6.9713897705078125,726677.0663132527,0,_000156,0
0,_000312,7.051849365234375,736358.8857749382,0,_000312,0
0,_000248,7.593460083007812,764029.1362246226,0,_000248,0
0,_000040,7.757171630859375,779929.9968410294,0,_000040,0
0,_000133,7.9412841796875,895608.7987985068,0,_000133,0
0,_000338,8.267181396484375,902596.6035527412,0,_000338,0
0,_000446,8.470199584960938,941896.1882011284,0,_000446,0
0,_000023,8.535202026367188,1085403.0917621676,0,_000023,0
0,_000348,9.627838134765623,1123408.7200406457,0,_000348,0
0,_000098,9.660629272460938,1156578.0584021383,0,_000098,0
0,_000183,10.00555419921875,1199952.9245954528,0,_000183,0
0,_000330,10.22833251953125,1201546.2941481175,0,_000330,0
0,_000172,10.33062744140625,1213529.7617796247,0,_000172,0
0,_000279,10.741836547851562,1224169.7263019057,0,_000279,0
0,_000199,11.108901977539062,1283082.6103155534,0,_000199,0
0,_000065,11.77044677734375,1346586.7271260757,0,_000065,0
0,_000427,11.922103881835938,1372650.6682334812,0,_000427,0
0,_000244,12.300491333007812,1466538.0831964442,0,_000244,0
0,_000017,12.337554931640623,1492057.8658208237,0,_000017,0
0,_000004,12.419906616210938,1588713.8281291502,0,_000004,0
0,_000216,13.230056762695312,1596145.069485247,0,_000216,0
0,_000391,13.30572509765625,1621943.678099222,0,_000391,0
0,_000057,15.072052001953123,1830459.473743728,0,_000057,0
0,_000285,15.086471557617188,1855401.9604576707,0,_000285,0
0,_000047,15.2100830078125,2023746.055601776,0,_000047,0
0,_000035,16.602371215820312,2069720.2877337628,0,_000035,0
0,_000354,16.769607543945312,2076825.3862510608,0,_000354,0
0,_000258,16.78521728515625,2084342.244292667,0,_000258,0
0,_000119,16.880584716796875,2093824.907454474,0,_000119,0
0,_000014,18.94105529785156,2332088.924379103,0,_000014,0
0,_000073,19.44000244140625,2912573.942960963,0,_000073,0
0,_000412,19.445281982421875,2934970.465757074,0,_000412,0
1,_000013,3.065673828125,121738.8079664069,0,_000013,0
1,_010150,3.077880859375,139639.21047089563,0,_010150,1
1,_000366,3.20196533203125,279767.2558725036,0,_000366,0
1,_010075,3.2471923828125,293038.3034584351,0,_010075,1
1,_010159,3.38372802734375,293701.0930891476,0,_010159,1
1,_000054,3.7860260009765625,396665.4404018229,0,_000054,0
1,_010100,3.787994384765625,413411.5571284229,0,_010100,1
1,_000267,4.1223907470703125,421329.41038305446,0,_000267,0
1,_010177,4.154449462890625,435033.66087074025,0,_010177,1
1,_010167,4.347442626953125,478142.8804277013,0,_010167,1
1,_000105,5.953872680664063,483857.8017155992,0,_000105,0
